4096	602
4352	602
4608	602
4864	604
5120	602
5376	602
5632	602
5888	609
6144	612
6400	602
6656	603
6912	603
7168	604
7424	605
7680	604
7936	602
8192	602
8448	601
8704	601
8960	602
9216	601
9472	601
9728	601
9984	601
10240	601
10496	601
10752	601
11008	601
11264	601
11520	601
11776	601
12032	602
12288	601
12544	601
12800	601
13056	602
13312	601
13568	601
13824	606
14080	602
14336	601
14592	601
14848	601
15104	601
15360	603
15616	604
15872	602
16128	601
16384	601
16384	606
17408	600
18432	601
19456	601
20480	600
21504	603
22528	600
23552	601
24576	601
25600	600
26624	602
27648	601
28672	600
29696	600
30720	600
31744	600
32768	600
33792	602
34816	600
35840	600
36864	600
37888	600
38912	600
39936	601
40960	600
41984	600
43008	600
44032	602
45056	601
46080	602
47104	600
48128	600
49152	600
50176	642
51200	600
52224	600
53248	600
54272	600
55296	600
56320	600
57344	602
58368	601
59392	600
60416	600
61440	600
62464	600
63488	600
64512	600
65536	600
66560	600
67584	600
68608	600
69632	600
70656	600
71680	600
72704	601
73728	603
74752	600
75776	600
76800	600
77824	600
78848	601
79872	600
80896	600
81920	600
82944	602
83968	600
84992	600
86016	601
87040	601
88064	607
89088	600
90112	600
91136	601
92160	600
93184	601
94208	601
95232	601
96256	600
97280	600
98304	600
99328	601
100352	600
101376	601
102400	601
103424	600
104448	176611750052440
105472	602
106496	601
107520	609
108544	601
109568	601
110592	600
111616	600
112640	601
113664	162291878426616
114688	601
115712	600
116736	601
117760	601
118784	600
119808	600
120832	601
121856	601
122880	601
123904	600
124928	600
125952	600
126976	600
128000	600
129024	600
130048	601
131072	601
131072	600
139264	600
147456	600
155648	601
163840	605
172032	600
180224	601
188416	610
196608	600
204800	601
212992	601
221184	601
229376	600
237568	600
245760	600
253952	601
262144	601
270336	600
278528	601
286720	601
294912	615
303104	602
311296	601
319488	600
327680	600
335872	601
344064	600
352256	601
360448	602
368640	601
376832	601
385024	605
393216	601
401408	601
409600	602
417792	601
425984	601
434176	601
442368	601
450560	601
458752	601
466944	601
475136	38824134710274
483328	601
491520	601
499712	601
507904	601
516096	601
524288	601
532480	602
540672	603
548864	602
557056	602
565248	602
573440	603
581632	634
589824	603
598016	601
606208	603
614400	602
622592	604
630784	643
638976	603
647168	603
655360	603
663552	603
671744	603
679936	604
688128	603
696320	638
704512	604
712704	603
720896	604
729088	604
737280	604
745472	604
753664	24476084926267
761856	604
770048	632
778240	630
786432	605
794624	605
802816	605
811008	605
819200	607
827392	605
835584	605
843776	605
851968	606
860160	606
868352	607
876544	606
884736	637
892928	636
901120	638
909312	635
917504	636
925696	634
933888	635
942080	624
950272	608
958464	610
966656	611
974848	613
983040	608
991232	609
999424	18457375518323
1007616	609
1015808	610
1024000	610
1032192	610
1040384	638
1048576	636
1056768	17455812505761
1064960	637
1073152	637
1081344	636
1089536	612
1097728	612
1105920	610
1114112	610
1122304	610
1130496	610
1138688	610
1146880	16084284380330
1155072	612
1163264	610
1171456	613
1179648	15637498703117
1187840	633
1196032	634
1204224	637
1212416	15214863603050
1220608	611
1228800	610
1236992	611
1245184	610
1253376	610
1261568	610
