prog0
#	real	user	sys
0	5.85	5.58	0.25
1	5.84	5.61	0.22
2	5.83	5.56	0.26
3	5.85	5.62	0.21
4	5.84	5.59	0.24
5	6.12	5.58	0.25


prog1
#	real	user	sys
0	5.56	5.31	0.20
1	5.53	5.31	0.20
2	5.55	5.30	0.23
3	5.54	5.31	0.22
4	5.53	5.33	0.19
5	5.55	5.25	0.28


prog2
#	real	user	sys
0	5.37	5.16	0.20
1	5.38	5.14	0.22
2	5.39	5.07	0.29
3	5.37	5.12	0.24
4	5.38	5.18	0.19
5	5.38	5.12	0.25


#	real	user	sys
0	5.39	5.16	0.20
1	5.38	5.15	0.22
2	5.38	5.16	0.20
3	5.39	5.14	0.23
4	5.37	5.14	0.23
5	5.38	5.14	0.23
